map_id,player,team,agent,kills,deaths,assists,acs,adr,hs_percent,kd_ratio,source
660372_2,LessKRÜ,,Viper,18144,17107,541,261324167.0,0.0,0.0,1.0606184602794178,vlr
660372_2,saadhakKRÜ,,Harbor,1046,1697,651,13194187.0,0.0,0.0,0.6163818503241013,vlr
660372_2,Dantedeu5KRÜ,,Neon,1073,18108,532,149166124.0,0.0,0.0,0.0592555776452396,vlr
660372_2,silentzzKRÜ,,KAY/O,981,18117,945,12818053.0,0.0,0.0,0.0541480377545951,vlr
660372_2,trentG2,team_b,Sova,1899,13310,1459,278302262.0,0.0,0.0,0.1426746806912096,vlr
660372_2,BABYBAYG2,team_b,Vyse,1688,1239,725,217255192.0,0.0,0.0,1.3623890234059726,vlr
660372_2,valynG2,team_b,Harbor,17710,1358,945,201210196.0,0.0,0.0,13.041237113402062,vlr
660372_2,jawgemoG2,team_b,Neon,17710,16610,541,248253245.0,0.0,0.0,1.0662251655629138,vlr
660372_2,leafG2,team_b,Astra,15510,1358,431,168156177.0,0.0,0.0,11.42120765832106,vlr
660373_0,NeonLEV,,Chamber,211011,615,422,274297260.0,0.0,0.0,343.10731707317075,vlr
660373_0,spikeLEV,,Neon,251015,1367,624,346327359.0,0.0,0.0,183.62472567666424,vlr
660373_0,blowzLEV,,Sova,1174,1046,1138,152213112.0,0.0,0.0,1.1223709369024857,vlr
660373_0,kiNggLEV,,Omen,1165,936,725,140188109.0,0.0,0.0,1.2446581196581197,vlr
660373_0,SatoLEV,,Phoenix,15510,1477,1248,212171240.0,0.0,0.0,10.50101557210562,vlr
660373_0,trentG2,team_b,Sova,1248,1587,541,178103292.0,0.0,0.0,0.7863894139886578,vlr
660373_0,valynG2,team_b,Astra,15114,18108,550,214259147.0,0.0,0.0,0.8346587143803844,vlr
660373_0,BABYBAYG2,team_b,Vyse,963,1798,642,134149114.0,0.0,0.0,0.53559510567297,vlr
660373_0,leafG2,team_b,Phoenix,844,1697,752,153124196.0,0.0,0.0,0.497348261638185,vlr
660373_0,jawgemoG2,team_b,Yoru,862,1798,101,12515088.0,0.0,0.0,0.4794215795328142,vlr
660373_2,blowzLEV,,Sova,19127,1789,431,244277205.0,0.0,0.0,10.691447736165456,vlr
660373_2,spikeLEV,,Neon,14104,1697,523,193237142.0,0.0,0.0,8.311137301119622,vlr
660373_2,NeonLEV,,Chamber,1349,17107,202,17579290.0,0.0,0.0,0.0788566084059157,vlr
