map_id,team,agent_1,agent_2,agent_3,agent_4,agent_5,source
686525_3,Szach Mat,Omen,Raze,Fade,Vyse,Viper,vlr
686526_2,CICADAS Gaming,Killjoy,Brimstone,Omen,Raze,Fade,vlr
686526_3,CICADAS Gaming,Neon,Deadlock,Vyse,Sova,Omen,vlr
686527_0,Enisorail,Vyse,Viper,Omen,Fade,Raze,vlr
686527_2,Enisorail,Phoenix,Fade,Chamber,Raze,Brimstone,vlr
686528_2,CSM,Sova,Jett,Omen,Killjoy,Phoenix,vlr
686528_3,CSM,Sova,Jett,Vyse,Phoenix,Omen,vlr
686529_0,Formulation Gaming,Chamber,Raze,Brimstone,Fade,Neon,vlr
686529_2,Formulation Gaming,Phoenix,Fade,Jett,Viper,Omen,vlr
686530_0,Ruan Duarte,Phoenix,Jett,Sova,Omen,Vyse,vlr
686530_2,Ruan Duarte,Viper,Raze,Omen,Vyse,Fade,vlr
686530_3,Ruan Duarte,Sage,Raze,Skye,Viper,Omen,vlr
686527_0,Enisorail,Vyse,Viper,Omen,Fade,Raze,vlr
686527_2,Enisorail,Phoenix,Fade,Chamber,Raze,Brimstone,vlr
686528_2,CSM,Sova,Jett,Omen,Killjoy,Phoenix,vlr
686528_3,CSM,Sova,Jett,Vyse,Phoenix,Omen,vlr
686529_0,Formulation Gaming,Chamber,Raze,Brimstone,Fade,Neon,vlr
686529_2,Formulation Gaming,Phoenix,Fade,Jett,Viper,Omen,vlr
686530_0,Ruan Duarte,Phoenix,Jett,Sova,Omen,Vyse,vlr
686530_2,Ruan Duarte,Viper,Raze,Omen,Vyse,Fade,vlr
686530_3,Ruan Duarte,Sage,Raze,Skye,Viper,Omen,vlr
686519_0,Baltic Brits,Phoenix,Jett,Omen,Killjoy,Sova,vlr
686519_2,Baltic Brits,Omen,Sova,Killjoy,Jett,Phoenix,vlr
681516_2,NRG,Raze,Vyse,Viper,Omen,Fade,vlr
681517_0,Pigeons,Jett,Skye,Brimstone,Breach,Cypher,vlr
681517_2,Pigeons,Jett,Sova,Omen,Deadlock,Cypher,vlr
681519_0,Evictix,Omen,Jett,Killjoy,Sova,Viper,vlr
681519_2,Evictix,Omen,Viper,Raze,Vyse,Fade,vlr
681518_0,ROSE,Vyse,Clove,Fade,Omen,Raze,vlr
681518_2,ROSE,Neon,Astra,Phoenix,Chamber,Fade,vlr
681521_0,Azure Dragon Gaming,Cypher,Phoenix,Sova,Omen,Jett,vlr
681521_2,Azure Dragon Gaming,Jett,Vyse,Omen,Skye,Raze,vlr
681521_3,Azure Dragon Gaming,Viper,Jett,Reyna,Sova,Harbor,vlr
681520_0,Dynamo,Omen,Iso,Vyse,Raze,Fade,vlr
681520_2,Dynamo,Iso,Viper,Sova,Omen,Jett,vlr
681522_0,Alliance Guardians,Harbor,Viper,Sova,KAY/O,Jett,vlr
681522_2,Alliance Guardians,Omen,Viper,Fade,KAY/O,Raze,vlr
681522_3,Alliance Guardians,KAY/O,Omen,Cypher,Jett,Fade,vlr
681523_2,YFP,Jett,Phoenix,Sova,Omen,Cypher,vlr
685247_0,Alliance Guardians,Viper,Deadlock,Raze,Omen,Fade,vlr
685247_2,Alliance Guardians,Omen,Cypher,KAY/O,Fade,Jett,vlr
685247_3,Alliance Guardians,Omen,Viper,Raze,Sage,Skye,vlr
685246_0,Evil Geniuses Academy,Omen,Viper,Chamber,Sova,Jett,vlr
685246_2,Evil Geniuses Academy,Omen,Chamber,KAY/O,Jett,Sova,vlr
685246_3,Evil Geniuses Academy,Omen,Fade,Viper,Raze,Vyse,vlr
685249_0,Dynamo,Vyse,Fade,Raze,Iso,Omen,vlr
685248_0,YFP,Jett,Sova,Omen,Cypher,KAY/O,vlr
685248_2,YFP,Vyse,Omen,Raze,Fade,Harbor,vlr
685251_0,NRG,Viper,Raze,Vyse,Omen,Fade,vlr
685250_2,Shopify Rebellion Black,Cypher,Fade,Astra,Jett,Phoenix,vlr
685250_3,Shopify Rebellion Black,Fade,Chamber,Raze,Omen,Viper,vlr
685253_0,FlyQuest,Jett,Phoenix,Fade,Astra,Vyse,vlr
685253_2,FlyQuest,Raze,Skye,Viper,Omen,Jett,vlr
685252_0,Azure Dragon Gaming,Omen,Raze,Skye,Jett,Vyse,vlr
685252_2,Azure Dragon Gaming,Jett,Harbor,Reyna,Viper,Sova,vlr
685252_0,Azure Dragon Gaming,Omen,Raze,Skye,Jett,Vyse,vlr
685252_2,Azure Dragon Gaming,Jett,Harbor,Reyna,Viper,Sova,vlr
685253_0,FlyQuest,Jett,Phoenix,Fade,Astra,Vyse,vlr
685253_2,FlyQuest,Raze,Skye,Viper,Omen,Jett,vlr
685250_2,Shopify Rebellion Black,Cypher,Fade,Astra,Jett,Phoenix,vlr
685250_3,Shopify Rebellion Black,Fade,Chamber,Raze,Omen,Viper,vlr
685251_0,NRG,Viper,Raze,Vyse,Omen,Fade,vlr
685248_0,YFP,Jett,Sova,Omen,Cypher,KAY/O,vlr
685248_2,YFP,Vyse,Omen,Raze,Fade,Harbor,vlr
