round_id,map_id,round_number,winner,win_type,spike_planted,econ_a,econ_b,duration_seconds,source
660370_2_23,660370_2,23,draw/unknown,elimination,False,0,0,,vlr
660370_2_24,660370_2,24,draw/unknown,elimination,False,0,0,,vlr
660371_0_1,660371_0,1,draw/unknown,elimination,False,0,0,,vlr
660371_0_1,660371_0,1,draw/unknown,elimination,False,0,0,,vlr
660371_0_1,660371_0,1,draw/unknown,elimination,False,0,0,,vlr
660371_0_2,660371_0,2,draw/unknown,elimination,False,0,0,,vlr
660371_0_3,660371_0,3,draw/unknown,spike,True,0,0,,vlr
660371_0_4,660371_0,4,draw/unknown,elimination,False,0,0,,vlr
660371_0_5,660371_0,5,draw/unknown,defuse,True,0,0,,vlr
660371_0_6,660371_0,6,draw/unknown,defuse,True,0,0,,vlr
660371_0_7,660371_0,7,draw/unknown,defuse,True,0,0,,vlr
660371_0_8,660371_0,8,draw/unknown,defuse,True,0,0,,vlr
660371_0_9,660371_0,9,draw/unknown,elimination,False,0,0,,vlr
660371_0_10,660371_0,10,draw/unknown,elimination,False,0,0,,vlr
660371_0_11,660371_0,11,draw/unknown,spike,True,0,0,,vlr
660371_0_12,660371_0,12,draw/unknown,elimination,False,0,0,,vlr
660371_0_13,660371_0,13,draw/unknown,elimination,False,0,0,,vlr
660371_0_14,660371_0,14,draw/unknown,spike,True,0,0,,vlr
660371_0_15,660371_0,15,draw/unknown,spike,True,0,0,,vlr
660371_0_16,660371_0,16,draw/unknown,elimination,False,0,0,,vlr
660371_0_17,660371_0,17,draw/unknown,defuse,True,0,0,,vlr
660371_0_18,660371_0,18,draw/unknown,defuse,True,0,0,,vlr
660371_0_19,660371_0,19,draw/unknown,spike,True,0,0,,vlr
660371_0_20,660371_0,20,draw/unknown,spike,True,0,0,,vlr
660371_0_21,660371_0,21,draw/unknown,defuse,True,0,0,,vlr
660371_0_22,660371_0,22,draw/unknown,elimination,False,0,0,,vlr
660371_0_23,660371_0,23,draw/unknown,elimination,False,0,0,,vlr
660371_0_24,660371_0,24,draw/unknown,elimination,False,0,0,,vlr
660371_2_1,660371_2,1,draw/unknown,elimination,False,0,0,,vlr
660371_2_1,660371_2,1,draw/unknown,elimination,False,0,0,,vlr
660371_2_1,660371_2,1,draw/unknown,elimination,False,0,0,,vlr
660371_2_2,660371_2,2,draw/unknown,elimination,False,0,0,,vlr
660371_2_3,660371_2,3,draw/unknown,elimination,False,0,0,,vlr
660371_2_4,660371_2,4,draw/unknown,elimination,False,0,0,,vlr
660371_2_5,660371_2,5,draw/unknown,elimination,False,0,0,,vlr
660371_2_6,660371_2,6,draw/unknown,spike,True,0,0,,vlr
660371_2_7,660371_2,7,draw/unknown,elimination,False,0,0,,vlr
660371_2_8,660371_2,8,draw/unknown,elimination,False,0,0,,vlr
660371_2_9,660371_2,9,draw/unknown,defuse,True,0,0,,vlr
660371_2_10,660371_2,10,draw/unknown,defuse,True,0,0,,vlr
660371_2_11,660371_2,11,draw/unknown,defuse,True,0,0,,vlr
660371_2_12,660371_2,12,draw/unknown,defuse,True,0,0,,vlr
660371_2_13,660371_2,13,draw/unknown,defuse,True,0,0,,vlr
660371_2_14,660371_2,14,draw/unknown,defuse,True,0,0,,vlr
660371_2_15,660371_2,15,draw/unknown,elimination,False,0,0,,vlr
660371_2_16,660371_2,16,draw/unknown,elimination,False,0,0,,vlr
660371_2_17,660371_2,17,draw/unknown,elimination,False,0,0,,vlr
660371_2_18,660371_2,18,draw/unknown,elimination,False,0,0,,vlr
660371_2_19,660371_2,19,draw/unknown,elimination,False,0,0,,vlr
660371_2_20,660371_2,20,draw/unknown,elimination,False,0,0,,vlr
660371_2_21,660371_2,21,draw/unknown,elimination,False,0,0,,vlr
660371_2_22,660371_2,22,draw/unknown,elimination,False,0,0,,vlr
660371_2_23,660371_2,23,draw/unknown,elimination,False,0,0,,vlr
660371_2_24,660371_2,24,draw/unknown,elimination,False,0,0,,vlr
660371_3_1,660371_3,1,draw/unknown,elimination,False,0,0,,vlr
660371_3_1,660371_3,1,draw/unknown,elimination,False,0,0,,vlr
660371_3_1,660371_3,1,draw/unknown,elimination,False,0,0,,vlr
660371_3_2,660371_3,2,draw/unknown,elimination,False,0,0,,vlr
660371_3_3,660371_3,3,draw/unknown,elimination,False,0,0,,vlr
660371_3_4,660371_3,4,draw/unknown,spike,True,0,0,,vlr
660371_3_5,660371_3,5,draw/unknown,elimination,False,0,0,,vlr
660371_3_6,660371_3,6,draw/unknown,elimination,False,0,0,,vlr
660371_3_7,660371_3,7,draw/unknown,spike,True,0,0,,vlr
660371_3_8,660371_3,8,draw/unknown,spike,True,0,0,,vlr
660371_3_9,660371_3,9,draw/unknown,elimination,False,0,0,,vlr
660371_3_10,660371_3,10,draw/unknown,defuse,True,0,0,,vlr
660371_3_11,660371_3,11,draw/unknown,defuse,True,0,0,,vlr
660371_3_12,660371_3,12,draw/unknown,elimination,False,0,0,,vlr
660371_3_13,660371_3,13,draw/unknown,elimination,False,0,0,,vlr
660371_3_14,660371_3,14,draw/unknown,spike,True,0,0,,vlr
660371_3_15,660371_3,15,draw/unknown,defuse,True,0,0,,vlr
660371_3_16,660371_3,16,draw/unknown,elimination,False,0,0,,vlr
660371_3_17,660371_3,17,draw/unknown,elimination,False,0,0,,vlr
660371_3_18,660371_3,18,draw/unknown,elimination,False,0,0,,vlr
660371_3_19,660371_3,19,draw/unknown,elimination,False,0,0,,vlr
660371_3_20,660371_3,20,draw/unknown,defuse,True,0,0,,vlr
660371_3_21,660371_3,21,draw/unknown,elimination,False,0,0,,vlr
660371_3_22,660371_3,22,draw/unknown,elimination,False,0,0,,vlr
660371_3_23,660371_3,23,draw/unknown,elimination,False,0,0,,vlr
660371_3_24,660371_3,24,draw/unknown,elimination,False,0,0,,vlr
660372_0_1,660372_0,1,draw/unknown,elimination,False,0,0,,vlr
660372_0_1,660372_0,1,draw/unknown,elimination,False,0,0,,vlr
660372_0_1,660372_0,1,draw/unknown,defuse,True,0,0,,vlr
